"URN","Text-Content"
"urn:cts:ctsDemo:tufts.cle395.dipl:1",""
"urn:cts:ctsDemo:tufts.cle395.dipl:2",""
"urn:cts:ctsDemo:tufts.cle395.dipl:3",""
"urn:cts:ctsDemo:tufts.cle395.dipl:4",""
